title,mean_rating,number_of_ratings
20 Million Miles to Earth (1957),3.0,1
"20,000 Leagues Under the Sea (1954)",3.6458333333,24
200 Cigarettes (1999),3.0,8
200 Motels (1971),0.5,1
2001 Maniacs (2005),1.75,2
2001: A Space Odyssey (1968),3.9603174602999998,126
2010: The Year We Make Contact (1984),4.0,22
2012 (2009),2.3333333333,18
2046 (2004),3.7,5
21 (2008),3.7083333333,12
21 Grams (2003),3.8214285714000003,28
21 Jump Street (2012),3.7222222222,18
21 Up (1977),5.0,1
21 and Over (2013),3.75,2
22 Bullets (L'immortel) (2010),3.5,2
22 Jump Street (2014),3.7916666667000003,12
24 7: Twenty Four Seven (1997),2.6666666667000003,3
24 Hour Party People (2002),3.5,5
24: Redemption (2008),3.25,4
25th Hour (2002),3.48,25
27 Dresses (2008),3.0769230769,13
28 Days (2000),3.2857142857,21
28 Days Later (2002),3.9328358209000003,67
28 Up (1985),4.75,2
28 Weeks Later (2007),3.4583333333,24
3 A.M. (2001),2.0,1
3 Days to Kill (2014),2.5,1
3 Extremes (Three... Extremes) (Saam gaang yi) (2004),3.5,2
3 Idiots (2009),4.6666666667,3
3 Ninjas (1992),2.8333333333,3
3 Ninjas Kick Back (1994),1.25,2
3 Ninjas Knuckle Up (1995),3.0,2
3 Ninjas: High Noon On Mega Mountain (1998),1.5,2
3 Women (Three Women) (1977),3.875,4
3-Iron (Bin-jip) (2004),3.8333333333,3
30 Days of Night (2007),3.0555555556,18
30 Days of Night: Dark Days (2010),1.5,1
30 Minutes or Less (2011),3.5,3
300 (2007),3.5779220779000003,77
3000 Miles to Graceland (2001),2.5833333333,6
300: Rise of an Empire (2014),2.125,4
35 Shots of Rum (35 rhums) (2008),2.5,1
35 Up (1991),4.5,1
36 Hours (1965),3.0,1
36 Quai des Orfèvres (Department 36) (2004),3.5,1
36 fillette (1988),3.0,1
360 (2011),2.0,1
"39 Steps, The (1935)",4.1086956522,23
3:10 to Yuma (1957),3.375,4
3:10 to Yuma (2007),3.5882352941,34
4 Little Girls (1997),4.25,2
"4 Months, 3 Weeks and 2 Days (4 luni, 3 saptamâni si 2 zile) (2007)",3.75,4
40 Days and 40 Nights (2002),2.6666666667000003,9
"40-Year-Old Virgin, The (2005)",3.6847826087,46
"400 Blows, The (Les quatre cents coups) (1959)",3.5833333333,12
"41-Year-Old Virgin Who Knocked Up Sarah Marshall and Felt Superbad About It, The (2010)",2.0,1
42 (2013),3.5,2
42 Up (1998),4.5,4
42nd Street (1933),3.0,2
44 Inch Chest (2009),3.5,1
47 Ronin (2013),3.6666666667000003,3
"47 Ronin, The (Genroku Chûshingura) (1941)",2.5,1
"47 Samurai (Chûshingura) (Loyal 47 Ronin, The) (1962)",4.0,1
48 Hrs. (1982),3.3125,24
49th Parallel (1941),3.0,1
4:44 Last Day on Earth (2011),2.25,2
"4th Man, The (Fourth Man, The) (Vierde man, De) (1983)",0.5,1
5 Centimeters per Second (Byôsoku 5 senchimêtoru) (2007),4.0,2
5 Days of War (2011),2.5,1
"5,000 Fingers of Dr. T, The (1953)",3.25,2
50 Children: The Rescue Mission of Mr. And Mrs. Kraus (2013),5.0,1
50 First Dates (2004),3.3684210526,38
50/50 (2011),3.6785714285999997,14
52 Pick-Up (1986),3.5,10
54 (1998),3.0384615385,13
55 Days at Peking (1963),2.0,1
"5th Musketeer, The (a.k.a. Fifth Musketeer, The) (1979)",4.0,1
6 Souls (Shelter) (2010),3.0,1
61* (2001),3.0,2
"6th Day, The (2000)",2.75,24
"6th Man, The (Sixth Man, The) (1997)",3.0,1
7 Boxes (2012),3.0,1
7 Plus Seven (1970),4.0,1
7 Seconds (2005),2.5,1
"7th Voyage of Sinbad, The (1958)",3.75,10
8 1/2 (8½) (1963),3.5333333333,15
8 Heads in a Duffel Bag (1997),2.7727272727,11
8 Mile (2002),3.4038461538,26
8 Million Ways to Die (1986),3.0,3
8 Seconds (1994),3.25,4
8 Women (2002),2.875,4
84 Charing Cross Road (1987),3.0,3
88 Minutes (2008),3.2142857143,7
8MM (1999),2.8181818182000002,22
9 (2009),3.4615384615,13
9 1/2 Weeks (Nine 1/2 Weeks) (1986),2.4,5
9 Songs (2004),3.0,1
96 Minutes (2011),4.0,1
976-EVIL (1989),2.0,1
99 francs (2007),4.0,1
9th Company (2005),0.5,1
A Hard Day (2014),2.5,1
A Home at the End of the World (2004),3.0,1
A Life in Dirty Movies (2013),3.5,1
A Little Chaos (2014),2.5,1
A Million Ways to Die in the West (2014),2.375,4
A Most Violent Year (2014),2.6666666667000003,3
A Most Wanted Man (2014),3.25,4
A Very Murray Christmas (2015),3.0,1
A Wolf at the Door (2013),3.0,1
"A-Team, The (2010)",3.35,10
A.I. Artificial Intelligence (2001),3.0769230769,52
ATL (2006),3.0,1
AVP: Alien vs. Predator (2004),2.7631578947,19
AVPR: Aliens vs. Predator - Requiem (2007),2.5909090909,11
Abandoned (2010),1.0,1
"Abandoned, The (2006)",2.0,1
Abbott and Costello Meet Frankenstein (1948),3.5,8
Abbott and Costello Meet the Mummy (1955),4.0,2
Abduction (2011),3.25,2
Abe Lincoln in Illinois (1940),4.0,1
Aberdeen (2000),4.0,1
"Abominable Dr. Phibes, The (1971)",3.75,2
About Cherry (2012),3.0,1
About Last Night... (1986),2.9,10
About Schmidt (2002),3.6071428571,28
About Time (2013),4.4166666667,6
About a Boy (2002),3.625,44
Above the Law (1988),2.25,4
Above the Rim (1994),3.5,2
Abraham Lincoln: Vampire Hunter (2012),2.0,4
Absence of Malice (1981),3.3333333333,3
"Absent-Minded Professor, The (1961)",3.4,15
Absentia (2011),4.0,1
Absolute Power (1997),3.06,25
"Abyss, The (1989)",3.6813186813,91
Acacia (2003),1.5,1
"Acacias, Las (2011)",1.0,1
Accattone (1961),4.0,1
Accepted (2006),3.5,9
Accident (1967),2.5,1
"Accidental Husband, The (2009)",2.0,1
"Accidental Tourist, The (1988)",2.8333333333,3
"Accused, The (1988)",3.25,8
Ace Ventura: Pet Detective (1994),2.8497109827,173
Ace Ventura: When Nature Calls (1995),2.6428571429,91
"Ace in the Hole (Big Carnival, The) (1951)",3.9,5
"Ace of Aces (a.k.a. Super Ace, The) (As des as, L') (1982)",2.0,1
Aces: Iron Eagle III (1992),1.25,4
Achilles and the Tortoise (Akiresu to kame) (2008),4.5,1
"Acid House, The (1998)",3.0,1
Across 110th Street (1972),3.25,2
Across the Pacific (1942),3.0,1
Across the Universe (2007),3.3571428571,7
"Act of Killing, The (2012)",3.5,1
Act of Valor (2012),3.5,3
Act of Violence (1948),3.5,1
Action Jackson (1988),3.5,2
Action in the North Atlantic (1943),3.0,1
"Actress, The (1953)",2.5,1
Adam (2009),3.8333333333,3
Adam's Rib (1949),3.9285714286,7
Adaptation (2002),3.9761904762,42
Addams Family Reunion (1998),1.8333333333000001,3
Addams Family Values (1993),2.9891304348,92
"Addams Family, The (1991)",3.306122449,49
Addicted to Love (1997),3.15,10
"Addiction, The (1995)",2.8333333333,3
"Adjustment Bureau, The (2011)",3.4090909091,11
Admission (2013),2.5,2
Adoration (2008),2.5,1
Adrift in Tokyo (Tenten) (2007),4.5,1
Adventureland (2009),3.1111111111,9
Adventures in Babysitting (1987),3.3333333333,30
"Adventures of Baron Munchausen, The (1988)",3.7608695652,23
"Adventures of Buckaroo Banzai Across the 8th Dimension, The (1984)",2.96,25
Adventures of Don Juan (1948),3.0,1
"Adventures of Elmo in Grouchland, The (1999)",3.5,2
"Adventures of Ford Fairlane, The (1990)",2.25,6
"Adventures of Huck Finn, The (1993)",3.1666666667,3
"Adventures of Huckleberry Finn, The (1960)",3.0,1
"Adventures of Ichabod and Mr. Toad, The (1949)",4.0,2
"Adventures of Milo and Otis, The (Koneko monogatari) (1986)",3.2666666667,15
"Adventures of Pinocchio, The (1996)",3.3333333333,6
"Adventures of Pluto Nash, The (2002)",2.5,2
"Adventures of Priscilla, Queen of the Desert, The (1994)",3.4791666667,48
"Adventures of Robin Hood, The (1938)",4.0,24
"Adventures of Rocky and Bullwinkle, The (2000)",2.4375,8
"Adventures of Sebastian Cole, The (1998)",3.0,2
"Adventures of Sharkboy and Lavagirl 3-D, The (2005)",3.0,1
"Adventures of Sherlock Holmes, The (1939)",3.75,2
"Adventures of Tintin, The (2011)",3.5416666667,12
Advise and Consent (1962),4.0,1
Aeon Flux (2005),2.7692307692,13
"Affair of Love, An (Liaison pornographique, Une) (1999)",3.0,1
"Affair of the Necklace, The (2001)",2.25,2
"Affair to Remember, An (1957)",4.0714285714,14
"Afflicted, The (2010)",4.5,1
Affliction (1997),4.05,10
Afghan Star (2009),3.0,1
"African Queen, The (1951)",3.9649122807,57
Afro Samurai: Resurrection (2009),3.1666666667,3
"After Dark, My Sweet (1990)",3.6666666667000003,3
After Earth (2013),2.5833333333,6
After Hours (1985),3.9166666667000003,6
After Life (Wandafuru raifu) (1998),3.8333333333,6
After Office Hours (1935),3.5,1
After Porn Ends (2010),3.0,1
After School Special (a.k.a. Barely Legal) (2003),3.0,1
After Sex (2007),4.0,1
After the Fox (Caccia alla volpe) (1966),3.0,1
After the Sunset (2004),2.7,5
After the Thin Man (1936),3.8333333333,3
After the Wedding (Efter brylluppet) (2006),3.5,3
After.Life (2009),2.0,2
Afterglow (1997),3.5,2
Afterschool (2008),4.5,1
Against All Odds (1984),3.5833333333,6
Against the Ropes (2004),2.0,1
Agatha Christie's 'Ten Little Indians' (Ten Little Indians) (And Then There Were None) (1965),3.25,2
"Age of Innocence, The (1993)",3.2592592593,27
Agent Cody Banks (2003),2.8333333333,3
Agent Cody Banks 2: Destination London (2004),1.0,1
Agnes of God (1985),3.375,8
Agora (2009),2.5,1
"Aguirre: The Wrath of God (Aguirre, der Zorn Gottes) (1972)",4.0,6
Ai Weiwei: Never Sorry (2012),4.0,1
Ain't Them Bodies Saints (2013),3.5,1
Air (2015),5.0,1
Air America (1990),2.9166666667000003,12
Air Bud (1997),2.5,8
Air Bud: Golden Receiver (1998),2.0,4
Air Doll (Kûki ningyô) (2009),4.0,1
Air Force (1943),4.0,1
Air Force One (1997),3.4390243902,82
"Air I Breathe, The (2007)",4.0,2
"Air Up There, The (1994)",3.1666666667,6
Airborne (1993),0.5,1
Airheads (1994),2.537037037,27
Airplane II: The Sequel (1982),2.98,25
Airplane! (1980),3.8372093023,86
Airport '77 (1977),1.0,2
Airport (1970),2.1875,8
Airport 1975 (1974),2.0,3
Ajami (2009),3.5,1
Akeelah and the Bee (2006),3.1666666667,3
Akira (1988),3.8367346939,49
Akira Kurosawa's Dreams (Dreams) (1990),4.375,4
Al Capone (1959),4.0,1
Aladdin (1992),3.6020942408,191
Aladdin and the King of Thieves (1996),3.25,14
"Alamo, The (1960)",2.625,4
Alan Partridge: Alpha Papa (2013),3.5,1
"Alan Smithee Film: Burn Hollywood Burn, An (1997)",3.0,1
Alaska (1996),3.6666666667000003,6
Albert Nobbs (2011),3.0,1
Albino Alligator (1996),3.4166666667,6
Alcina (2000),3.5,1
Alex and Emma (2003),3.1666666667,6
Alexander (2004),2.3333333333,12
Alexander Nevsky (Aleksandr Nevskiy) (1938),3.75,2
Alexander the Great (1956),3.0,2
Alfie (1966),3.6666666667000003,6
Alfie (2004),2.25,6
Algiers (1938),3.0,1
Ali (2001),3.3846153846,13
Ali G Indahouse (2002),3.3333333333,3
Ali: Fear Eats the Soul (Angst essen Seele auf) (1974),2.5,1
Alice (1990),3.125,4
Alice (2009),4.25,2
Alice Doesn't Live Here Anymore (1974),4.1666666667,3
Alice in Wonderland (1933),3.5,1
Alice in Wonderland (1951),3.9230769231,39
Alice in Wonderland (2010),3.55,10
Alice's Restaurant (1969),3.0,1
Alien (1979),4.0641025641,156
Alien Escape (1995),2.5,2
Alien Nation (1988),3.34375,16
Alien Outpost (2014),3.25,2
Alien Raiders (2008),2.0,1
Alien: Resurrection (1997),3.2857142857,49
Aliens (1986),4.1464968153,157
Aliens of the Deep (2005),3.5,1
Alien³ (a.k.a. Alien 3) (1992),3.1666666667,66
Alive (1993),3.5384615385,13
Aliyah (Alyah) (2012),4.0,1
All About Eve (1950),4.2037037037000005,27
All About Lily Chou-Chou (Riri Shushu no subete) (2001),4.0,1
All About My Mother (Todo sobre mi madre) (1999),4.09375,16
All About Steve (2009),2.0,2
All About the Benjamins (2002),2.0,1
All Dogs Go to Heaven (1989),2.8333333333,9
All Dogs Go to Heaven 2 (1996),3.1071428571,14
All Good Things (2010),3.6666666667000003,3
All Is Lost (2013),2.75,2
All Night Long (1981),2.0,1
All Over Me (1997),2.5,3
All Over the Guy (2001),2.0,1
All Quiet on the Western Front (1930),4.5,13
All That Heaven Allows (1955),4.5,1
All That Jazz (1979),3.5,13
"All This, and Heaven Too (1940)",3.5,1
All Through the Night (1941),2.5,1
All is Bright (2013),3.0,1
All of Me (1984),3.375,8
All or Nothing (2002),3.0,3
All the Boys Love Mandy Lane (2006),3.0,1
All the King's Men (1949),4.6,5
All the King's Men (2006),2.25,2
All the Mornings of the World (Tous les matins du monde) (1991),4.0,1
All the President's Men (1976),4.22,25
All the Pretty Horses (2000),3.25,4
All the Real Girls (2003),1.5,1
All the Vermeers in New York (1990),3.0,1
All-Star Superman (2011),3.25,2
Allan Quatermain and the Lost City of Gold (1987),3.125,4
Allegro non troppo (1977),3.5,1
Alligator (1980),1.2,5
Almost Famous (2000),3.8855421687,83
Almost Heroes (1998),2.6666666667000003,3
Alone in the Dark (2005),1.6666666667,3
Along Came Polly (2004),3.0294117647,17
Along Came a Spider (2001),3.2,15
Alpha Dog (2007),2.9,10
"Alphaville (Alphaville, une étrange aventure de Lemmy Caution) (1965)",3.875,4
Altered (2006),3.0,3
Altered States (1980),3.5,9
Alvarez Kelly (1966),3.0,1
Alvin and the Chipmunks (2007),2.3,5
Alvin and the Chipmunks: The Squeakquel (2009),2.25,2
Always (1989),3.6428571429,7
Amadeus (1984),4.087628866,97
Amandla! A Revolution in Four Part Harmony (2002),3.5,1
Amarcord (1973),3.8,5
Amateur (1994),3.8125,8
"Amazing Adventure, The (a.k.a. The Amazing Quest of Ernest Bliss) (1936)",3.5,1
Amazing Grace (2006),3.5,5
Amazing Grace and Chuck (1987),3.5,1
"Amazing Panda Adventure, The (1995)",3.6666666667000003,3
"Amazing Spider-Man, The (2012)",3.6153846154,13
Amazon Women on the Moon (1987),3.2142857143,7
Ambush (Rukajärven tie) (1999),4.0,1
Amelia (2009),2.5,1
"Amelie (Fabuleux destin d'Amélie Poulain, Le) (2001)",4.0756302521,119
Amen. (2002),3.0,2
America's Sweethearts (2001),2.8928571429,14
"American Astronaut, The (2001)",4.0,1
American Beauty (1999),4.1574074074,216
American Buffalo (1996),3.5,4
"American Carol, An (2008)",3.5,1
"American Crime, An (2007)",4.5,1
American Dream (1990),4.5,4
American Dreamz (2006),2.5,2
American Flyers (1985),4.25,2
"American Friend, The (Amerikanische Freund, Der) (1977)",3.75,2
American Gangster (2007),3.743902439,41
American Gigolo (1980),3.4285714286,7
American Graffiti (1973),3.9342105263000002,38
"American Haunting, An (2005)",1.5,1
American Heart (1992),3.5,1
American History X (1998),4.140776699,103
American Hustle (2013),3.8846153846,13
American Mary (2012),4.25,2
American Me (1992),4.0,1
American Movie (1999),3.8888888889,9
American Ninja (1985),1.75,2
American Ninja 2: The Confrontation (1987),2.0,1
American Ninja 3: Blood Hunt (1989),2.0,1
American Outlaws (2001),2.6,5
American Pie (1999),3.2663551402,107
American Pie 2 (2001),2.9880952381,42
American Pie Presents Beta House (American Pie 6: Beta House) (2007),1.3333333333000001,3
American Pie Presents The Naked Mile (American Pie 5: The Naked Mile) (2006),1.75,4
American Pie Presents: Band Camp (American Pie 4: Band Camp) (2005),2.5,6
American Pie Presents: The Book of Love (American Pie 7: The Book of Love) (2009),3.25,2
American Pimp (1999),3.0,1
"American President, The (1995)",3.7294117647,85
American Psycho (2000),3.7625,40
American Psycho II: All American Girl (2002),2.25,2
American Reunion (American Pie 4) (2012),3.125,4
"American Rhapsody, An (2001)",4.0,1
American Sniper (2014),3.8333333333,6
American Splendor (2003),3.7916666667000003,12
"American Tail, An (1986)",3.7291666667000003,24
"American Tail: Fievel Goes West, An (1991)",3.3181818182000002,11
American Ultra (2015),3.5,2
American Wedding (American Pie 3) (2003),2.65,10
"American Werewolf in London, An (1981)",3.7073170732,41
"American Werewolf in Paris, An (1997)",2.4090909091,11
"American in Paris, An (1951)",3.6842105263000002,19
"American, The (2010)",2.8,5
American: The Bill Hicks Story (2009),3.75,2
"Americanization of Emily, The (1964)",4.0,2
Amistad (1997),3.6551724138,29
Amityville 1992: It's About Time (1992),1.5,2
Amityville 3-D (1983),0.75,2
"Amityville Curse, The (1990)",2.1666666667,3
"Amityville Horror, The (1979)",2.5,13
"Amityville Horror, The (2005)",3.1,5
Amityville II: The Possession (1982),1.75,2
Amityville: A New Generation (1993),1.5,2
Amityville: Dollhouse (1996),2.0,1
Among Giants (1998),4.5,2
"Amor brujo, El (Love Bewitched, A) (1986)",3.0,1
Amores Perros (Love's a Bitch) (2000),4.25,24
Amos & Andrew (1993),3.5,2
Amour (2012),4.0,2
Amy's O (a.k.a. Amy's Orgasm) (2001),3.0,2
Anaconda (1997),2.0416666667,36
Anacondas: The Hunt for the Blood Orchid (2004),1.5,4
Analyze That (2002),3.2,10
Analyze This (1999),3.425,40
Anamorph (2007),2.5,1
Anastasia (1956),3.1666666667,3
Anastasia (1997),3.5909090909,22
Anatomy (Anatomie) (2000),2.5,1
Anatomy of Hell (Anatomie de l'enfer) (2004),2.0,1
Anatomy of a Murder (1959),4.25,8
Anchorman 2: The Legend Continues (2013),2.5,3
Anchorman: The Legend of Ron Burgundy (2004),3.7368421053,38
Anchors Aweigh (1945),3.25,4
And God Created Woman (1988),1.25,2
And God Created Woman (Et Dieu... créa la femme) (1956),3.5,2
And Now a Word from Our Sponsor (2013),3.0,1
And Now... Ladies and Gentlemen... (2002),3.5,1
And Soon the Darkness (2010),3.75,2
And Starring Pancho Villa as Himself (2003),2.5,1
And Then There Were None (1945),4.125,4
And When Did You Last See Your Father? (2007),2.0,1
And Your Mother Too (Y tu mamá también) (2001),4.1136363636,22
And the Band Played On (1993),3.5,5
"Andalusian Dog, An (Chien andalou, Un) (1929)",3.5,2
Andre (1994),4.3333333333,3
Andrei Rublev (Andrey Rublyov) (1969),5.0,1
"Andromeda Strain, The (1971)",3.7,10
Angel Baby (1995),3.25,2
Angel Eyes (2001),2.5,2
Angel Face (1952),2.0,1
Angel Heart (1987),3.4583333333,12
Angel and the Badman (1947),3.5,2
"Angel at My Table, An (1990)",4.0,1
Angel of Death (2009),2.5,1
Angel on My Shoulder (1946),2.5,1
Angel-A (2005),1.5,1
Angela's Ashes (1999),3.375,8
Angels & Demons (2009),2.9,15
Angels Crest (2011),2.0,1
Angels and Insects (1995),3.85,10
Angels in America (2003),0.5,1
Angels in the Outfield (1994),3.0769230769,13
Angels with Dirty Faces (1938),3.6,5
"Angels' Share, The (2012)",4.0,1
Anger Management (2003),2.7,20
"Angry Red Planet, The (1959)",2.0,1
Angus (1995),3.2,5
"Angus, Thongs and Perfect Snogging (2008)",2.0,1
Animal Crackers (1930),4.0,5
Animal Farm (1954),5.0,1
Animal House (1978),3.8984375,64
Animal Kingdom (2010),3.8333333333,3
"Animal, The (2001)",1.25,4
"Animatrix, The (2003)",3.8333333333,15
Anna Karenina (1935),3.5,2
Anna Karenina (1997),3.8333333333,3
Anna Karenina (2012),3.0,2
Anna and the King (1999),3.2142857143,14
Annabelle (2014),1.0,1
Annapolis (2006),1.0,1
Anne Frank Remembered (1995),3.4285714286,7
Anne of Green Gables (1985),4.0,3
Anne of the Thousand Days (1969),4.0,1
Annie (1982),3.7692307692,13
Annie (2014),0.5,1
Annie Hall (1977),4.2058823529,68
"Anniversary Party, The (2001)",3.5,2
Anonymous (2011),2.5,1
Another 48 Hrs. (1990),2.5,6
Another Country (1984),3.25,2
Another Day in Paradise (1998),3.0,1
Another Earth (2011),3.5,2
Another Happy Day (2011),1.0,1
Another Man's Poison (1952),3.75,2
Another Stakeout (1993),2.8333333333,18
Another Thin Man (1939),3.8333333333,3
Another Woman (1988),1.5,2
Another Year (2010),3.5,1
"Ant Bully, The (2006)",2.6666666667000003,3
Ant-Man (2015),3.7857142857,7
Anthony Zimmer (2005),3.0,1
Antibodies (Antikörper) (2005),4.0,2
Antichrist (2009),2.5833333333,6
Antitrust (2001),2.4583333333,12
Anton Chekhov's The Duel (2010),3.0,1
Antonia's Line (Antonia) (1995),3.45,10
Antwone Fisher (2002),3.8,5
Antz (1998),3.3157894736999998,57
Anvil! The Story of Anvil (2008),3.6666666667000003,3
Any Given Sunday (1999),3.0,18
Any Which Way You Can (1980),3.0,3
Anything Else (2003),3.0833333333,6
Anywhere But Here (1999),3.0,5
Apache (1954),3.5,1
Apartment 143 (2011),1.5,1
Apartment Zero (1988),3.5,3
"Apartment, The (1960)",3.9038461538,26
"Ape, The (1940)",1.0,1
Apocalypse Now (1979),4.0265486726,113
Apocalypto (2006),3.3571428571,14
Apollo 13 (1995),3.9695431472,197
Apollo 13: To the Edge and Back (1994),3.5,1
Apollo 18 (2011),3.5,2
"Apostle, The (1997)",3.5434782609,23
Appaloosa (2008),3.75,4
"Apparition, The (2012)",3.5,1
"Appeared, The (Aparecidos) (2007)",2.5,1
"Apple Dumpling Gang Rides Again, The (1979)",2.8,5
"Apple Dumpling Gang, The (1975)",2.8888888889,9
Appleseed (Appurushîdo) (2004),3.3333333333,3
Appointment with Danger (1951),3.5,1
"Apprenticeship of Duddy Kravitz, The (1974)",3.25,2
April Fool's Day (1986),2.5,4
Apt Pupil (1998),3.0833333333,6
Aqua Teen Hunger Force Colon Movie Film for Theaters (2007),2.0,2
Arachnophobia (1990),2.9191176471,68
Ararat (2002),2.5,1
Arbitrage (2012),3.375,4
Arch of Triumph (1948),3.5,1
Are We There Yet? (2005),0.75,2
Argo (2012),3.6470588235,17
Aria (1987),3.5,1
"Aristocats, The (1970)",3.3275862069,29
"Aristocrats, The (2005)",2.8333333333,3
Arizona Dream (1993),4.1666666667,3
Arlington Road (1999),3.3918918919,37
Armageddon (1998),2.99,100
Armed and Dangerous (1986),3.0,5
Armored (2009),2.5,1
Armour of God (Long xiong hu di) (1987),2.25,2
Armour of God II: Operation Condor (Operation Condor) (Fei ying gai wak) (1991),2.3333333333,3
Army of Crime (L'armée du crime) (2009),4.5,1
Army of Darkness (1993),3.4705882353,68
Army of Shadows (L'armée des ombres) (1969),4.125,4
Arn: The Knight Templar (Arn - Tempelriddaren) (2007),3.75,2
Around the Bend (2004),3.0,1
Around the World (1943),3.0,1
Around the World in 80 Days (1956),3.5333333333,15
Around the World in 80 Days (2004),2.125,4
"Arrival, The (1996)",3.2391304348,23
Arsenic and Old Lace (1944),4.0945945946,37
Arsène Lupin (1932),3.5,1
Art School Confidential (2006),3.0,2
"Art of Negative Thinking, The (Kunsten å tenke negativt) (2006)",3.0,1
"Art of War, The (2000)",2.1363636364,11
"Art of the Steal, The (2009)",3.25,2
"Art of the Steal, The (2013)",3.0,1
Artemisia (1997),3.5,2
Arthur (1981),3.3235294118,17
Arthur (2011),3.25,4
Arthur 2: On the Rocks (1988),1.8333333333000001,3
Arthur Christmas (2011),3.0,1
As Good as It Gets (1997),3.8775510204,98
"Ascent of Money, The (2008)",3.0,1
Ash Wednesday (2002),1.5,1
Ashby (2015),4.0,1
Ashes and Diamonds (Popiól i diament) (1958),4.0,1
Ashes of Time (Dung che sai duk) (1994),4.0,1
Asoka (Ashoka the Great) (2001),2.0,1
"Asphalt Jungle, The (1950)",4.1875,8
Assassination (1987),3.0,1
Assassination Games (2011),2.5,1
Assassination Tango (2002),2.0,2
"Assassination of Jesse James by the Coward Robert Ford, The (2007)",3.4090909091,11
"Assassination of Richard Nixon, The (2004)",3.75,2
Assassination of a High School President (2008),4.5,1
Assassins (1995),3.1458333333,24
Assault on Precinct 13 (1976),3.0625,8
Assault on Precinct 13 (2005),3.1,10
"Assignment, The (1997)",3.5,1
"Associate, The (1996)",3.5714285714000003,7
Asterix & Obelix: Mission Cleopatra (Astérix & Obélix: Mission Cléopâtre) (2002),4.0,2
Asterix and the Vikings (Astérix et les Vikings) (2006),2.5,1
Asterix at the Olympic Games (Astérix aux jeux olympiques) (2008),2.5,1
Asterix in Britain (Astérix chez les Bretons) (1986),4.0,1
Astro Boy (2009),3.25,2
"Astronaut Farmer, The (2007)",3.1,5
"Astronaut's Wife, The (1999)",2.6176470588000003,17
Asylum (2005),1.5,1
Asylum (2008),4.0,1
Asylum Blackout (2011),4.0,1
At Any Price (2012),3.0,1
At Close Range (1986),3.25,2
At First Sight (1999),3.0,1
At Long Last Love (1975),2.0,1
At Play in the Fields of the Lord (1991),3.5,2
At the Circus (1939),3.0,1
At the Earth's Core (1976),4.0,1
"Atalante, L' (1934)",4.3333333333,3
Atlantic City (1980),3.8461538462,13
Atlantis: The Lost Empire (2001),3.0416666667,12
"Atomic Cafe, The (1982)",3.125,4
Atonement (2007),3.6666666667000003,15
Attack of the 50 Foot Woman (1958),1.5,2
Attack of the Crab Monsters (1957),2.0,1
Attack of the Killer Tomatoes! (1978),2.1875,8
Attack the Block (2011),3.5,8
Attack the Gas Station! (Juyuso seubgyuksageun) (1999),3.0,1
Attack! (1956),3.5,1
"Attack, The (2012)",2.75,2
Au Hasard Balthazar (1966),3.0,1
Au revoir les enfants (1987),3.75,4
Audition (Ôdishon) (1999),3.4444444444,9
August (1996),2.5,2
August Rush (2007),4.1666666667,6
August: Osage County (2013),2.8333333333,3
Auntie Mame (1958),3.625,8
